date,code,language,url,pages,articles,edits,images,users,activeusers,admins,jobs
2026-07-14,ab,аԥсшәа,https://ab.wikipedia.org,37630,6626,169337,9,25226,41,2,0
2026-07-14,ace,Acèh,https://ace.wikipedia.org,28314,13073,158094,0,33411,37,3,0
2026-07-14,ady,адыгабзэ,https://ady.wikipedia.org,5027,646,17173,0,10585,19,1,0
2026-07-14,af,Afrikaans,https://af.wikipedia.org,440890,129796,2912730,10045,208478,251,15,0
2026-07-14,alt,алтай тил,https://alt.wikipedia.org,7274,1110,49117,0,4650,12,2,0
2026-07-14,am,አማርኛ,https://am.wikipedia.org,46748,15699,393532,1357,56781,60,1,0
2026-07-14,ami,Pangcah,https://ami.wikipedia.org,2316,1149,50105,0,3757,15,1,0
2026-07-14,an,aragonés,https://an.wikipedia.org,239391,84921,2452863,2190,90101,103,9,0
2026-07-14,ang,Ænglisc,https://ang.wikipedia.org,22102,5225,230320,264,139254,65,1,0
2026-07-14,ann,Obolo,https://ann.wikipedia.org,940,436,5104,0,1381,13,1,0
2026-07-14,anp,अंगिका,https://anp.wikipedia.org,5316,1688,23042,0,3908,9,1,0
2026-07-14,ar,العربية,https://ar.wikipedia.org,9169195,1323866,75774402,56419,2956480,5376,24,0
2026-07-14,arc,ܐܪܡܝܐ,https://arc.wikipedia.org,6360,1920,97575,0,23968,13,2,0
2026-07-14,ary,الدارجة,https://ary.wikipedia.org,106734,19150,571124,346,20824,47,3,0
2026-07-14,arz,مصرى,https://arz.wikipedia.org,2254965,1632394,13128888,1301,290899,336,7,0
2026-07-14,as,অসমীয়া,https://as.wikipedia.org,125903,24659,616891,2427,50185,158,6,0
2026-07-14,ast,asturianu,https://ast.wikipedia.org,249544,139158,4498905,0,149577,144,6,0
2026-07-14,atj,Atikamekw,https://atj.wikipedia.org,3308,2080,16983,0,6184,9,9,0
2026-07-14,av,авар,https://av.wikipedia.org,18760,4016,97568,0,17685,26,2,0
2026-07-14,avk,Kotava,https://avk.wikipedia.org,36365,29901,147693,0,8582,23,5,0
2026-07-14,awa,अवधी,https://awa.wikipedia.org,7532,2897,33383,0,5362,21,2,0
2026-07-14,ay,Aymar aru,https://ay.wikipedia.org,8990,5285,102949,0,19527,19,1,0
2026-07-14,az,azərbaycanca,https://az.wikipedia.org,682239,216021,8985108,14567,345934,767,13,0
2026-07-14,azb,تۆرکجه,https://azb.wikipedia.org,580519,244718,1590563,558,62583,90,4,0
2026-07-14,ba,башҡортса,https://ba.wikipedia.org,185138,64288,1300377,1430,47979,77,6,0
2026-07-14,ban,Basa Bali,https://ban.wikipedia.org,78535,38220,264041,141,101897,87,4,0
2026-07-14,bar,Boarisch,https://bar.wikipedia.org,110845,27230,852661,1153,80827,68,2,0
2026-07-14,bbc,Batak Toba,https://bbc.wikipedia.org,2880,1444,17218,0,2661,20,2,0
2026-07-14,bcl,Bikol Central,https://bcl.wikipedia.org,51623,22347,306781,798,31834,74,4,0
2026-07-14,bdr,Bajau Sama,https://bdr.wikipedia.org,1364,242,5750,0,1566,10,1,0
2026-07-14,be,беларуская,https://be.wikipedia.org,734793,264723,5157277,3619,169252,320,10,0
2026-07-14,be-tarask,беларуская (тарашкевіца),https://be-tarask.wikipedia.org,266619,91185,2671815,2275,98227,194,4,0
2026-07-14,bew,Betawi,https://bew.wikipedia.org,8035,3334,34760,0,3785,22,4,0
2026-07-14,bg,български,https://bg.wikipedia.org,705139,311178,12940562,13,399796,1537,19,0
2026-07-14,bh,भोजपुरी,https://bh.wikipedia.org,81963,9118,796952,54,40292,66,2,0
2026-07-14,bi,Bislama,https://bi.wikipedia.org,3479,1486,44214,0,15449,12,1,0
2026-07-14,bjn,Banjar,https://bjn.wikipedia.org,36673,12150,112312,2,17559,103,2,0
2026-07-14,blk,ပအိုဝ်ႏဘာႏသာႏ,https://blk.wikipedia.org,9371,3084,33788,0,3102,20,1,0
2026-07-14,bm,bamanankan,https://bm.wikipedia.org,3351,1007,42509,0,12853,16,1,0
2026-07-14,bn,বাংলা,https://bn.wikipedia.org,1417794,189166,9048127,21591,550996,1665,16,0
2026-07-14,bo,བོད་ཡིག,https://bo.wikipedia.org,22727,8071,161798,0,35490,31,3,0
2026-07-14,bpy,বিষ্ণুপ্রিয়া মণিপুরী,https://bpy.wikipedia.org,63426,25096,895653,35,28255,26,2,0
2026-07-14,br,brezhoneg,https://br.wikipedia.org,161660,91462,2190225,492,92224,107,5,0
2026-07-14,bs,bosanski,https://bs.wikipedia.org,387046,98478,3894052,5315,182411,209,10,0
2026-07-14,btm,Batak Mandailing,https://btm.wikipedia.org,2769,1229,12446,0,1633,11,1,0
2026-07-14,bug,Basa Ugi,https://bug.wikipedia.org,20525,15959,210552,0,15374,20,1,0
2026-07-14,bxr,буряад,https://bxr.wikipedia.org,11245,2917,74619,8,17783,21,1,0
2026-07-14,ca,català,https://ca.wikipedia.org,2008720,797936,37889482,11392,576538,1513,25,0
2026-07-14,cbk-zam,Chavacano de Zamboanga,https://cbk-zam.wikipedia.org,8779,2856,118337,0,16689,18,3,0
2026-07-14,cdo,閩東語 / Mìng-dĕ̤ng-ngṳ̄,https://cdo.wikipedia.org,33630,16725,105176,0,25220,15,3,0
2026-07-14,ce,нохчийн,https://ce.wikipedia.org,1893620,866387,20624782,333,46754,83,3,0
2026-07-14,ceb,Cebuano,https://ceb.wikipedia.org,11234898,6115366,37001118,3,144924,210,6,0
2026-07-14,ch,Chamoru,https://ch.wikipedia.org,2599,582,24670,0,18594,17,1,0
2026-07-14,chr,ᏣᎳᎩ,https://chr.wikipedia.org,4031,1000,51677,0,31648,22,1,0
2026-07-14,chy,Tsetsêhestâhese,https://chy.wikipedia.org,3607,2006,27336,0,14097,15,1,0
2026-07-14,ckb,کوردی,https://ckb.wikipedia.org,258343,82924,1603187,3020,76456,192,7,0
2026-07-14,co,corsu,https://co.wikipedia.org,18695,9245,403978,0,27643,43,1,0
2026-07-14,crh,qırımtatarca,https://crh.wikipedia.org,58415,29717,244138,0,81409,52,2,0
2026-07-14,cs,čeština,https://cs.wikipedia.org,1656035,595243,25999909,1,803271,4033,31,0
2026-07-14,csb,kaszëbsczi,https://csb.wikipedia.org,9762,5672,206961,0,19689,39,2,0
2026-07-14,cu,словѣньскъ / ⰔⰎⰑⰂⰡⰐⰠⰔⰍⰟ,https://cu.wikipedia.org,6080,1457,87460,0,29500,26,1,0
2026-07-14,cv,чӑвашла,https://cv.wikipedia.org,123316,59091,873794,529,40323,42,2,0
2026-07-14,cy,Cymraeg,https://cy.wikipedia.org,550113,284323,15216223,12262,109668,139,11,0
2026-07-14,da,dansk,https://da.wikipedia.org,987066,315021,12284475,1,572015,1350,25,0
2026-07-14,dag,dagbanli,https://dag.wikipedia.org,25240,14471,143537,0,8380,73,1,0
2026-07-14,de,Deutsch,https://de.wikipedia.org,8583776,3135944,266462730,129671,5245242,32988,162,0
2026-07-14,dga,Dagaare,https://dga.wikipedia.org,7163,3416,62580,0,1810,9,2,0
2026-07-14,din,Thuɔŋjäŋ,https://din.wikipedia.org,1081,337,9346,0,7731,13,1,0
2026-07-14,diq,Zazaki,https://diq.wikipedia.org,64343,42706,554449,193,34122,41,3,0
2026-07-14,dsb,dolnoserbski,https://dsb.wikipedia.org,11659,3444,147523,0,21137,18,1,0
2026-07-14,dtp,Kadazandusun,https://dtp.wikipedia.org,7637,1887,24114,0,3005,16,2,0
2026-07-14,dty,डोटेली,https://dty.wikipedia.org,22627,3739,247275,3,8274,19,2,0
2026-07-14,dv,ދިވެހިބަސް,https://dv.wikipedia.org,12510,3218,137516,896,28400,20,2,0
2026-07-14,dz,ཇོང་ཁ,https://dz.wikipedia.org,5852,382,39988,0,13555,21,2,0
2026-07-14,ee,eʋegbe,https://ee.wikipedia.org,4398,1351,61730,0,17239,21,2,0
2026-07-14,el,Ελληνικά,https://el.wikipedia.org,755013,270994,11702660,19932,517028,2387,22,0
2026-07-14,eml,emiliàn e rumagnòl,https://eml.wikipedia.org,37656,14176,172876,2952,31561,28,3,0
2026-07-14,en,English,https://en.wikipedia.org,65905739,7208634,1359378263,971874,53660744,249387,814,0
2026-07-14,eo,Esperanto,https://eo.wikipedia.org,870144,387785,9406393,19749,257631,407,13,0
2026-07-14,es,español,https://es.wikipedia.org,8682407,2125333,173912990,0,8081985,36479,52,0
2026-07-14,et,eesti,https://et.wikipedia.org,616340,260865,7184465,657,231655,841,36,0
2026-07-14,eu,euskara,https://eu.wikipedia.org,1081782,491902,10834723,0,197016,491,12,0
2026-07-14,ext,estremeñu,https://ext.wikipedia.org,9342,4238,143265,0,20361,16,2,0
2026-07-14,fa,فارسی,https://fa.wikipedia.org,6062449,1079735,43927754,99308,1539319,7177,38,0
2026-07-14,fat,mfantse,https://fat.wikipedia.org,4780,1796,25682,0,2527,6,3,0
2026-07-14,ff,Fulfulde,https://ff.wikipedia.org,36663,20523,170421,0,13908,46,3,0
