date,code,language,url,pages,articles,edits,images,users,activeusers,admins,jobs
2026-07-15,cu,словѣньскъ / ⰔⰎⰑⰂⰡⰐⰠⰔⰍⰟ,https://cu.wikipedia.org,6083,1459,87466,0,29503,26,1,0
2026-07-15,cv,чӑвашла,https://cv.wikipedia.org,123317,59091,873832,529,40328,42,2,0
2026-07-15,cy,Cymraeg,https://cy.wikipedia.org,550131,284336,15219301,12265,109704,139,11,0
2026-07-15,da,dansk,https://da.wikipedia.org,987098,315036,12284942,1,572121,1350,25,0
2026-07-15,dag,dagbanli,https://dag.wikipedia.org,25241,14472,143696,0,8387,73,1,0
2026-07-15,de,Deutsch,https://de.wikipedia.org,8584603,3136176,266486207,129727,5246762,32988,162,0
2026-07-15,dga,Dagaare,https://dga.wikipedia.org,7166,3416,62582,0,1813,9,2,0
2026-07-15,din,Thuɔŋjäŋ,https://din.wikipedia.org,1081,337,9349,0,7734,13,1,0
2026-07-15,diq,Zazaki,https://diq.wikipedia.org,64343,42706,554461,193,34126,41,3,0
2026-07-15,dsb,dolnoserbski,https://dsb.wikipedia.org,11659,3444,147527,0,21137,18,1,0
2026-07-15,dtp,Kadazandusun,https://dtp.wikipedia.org,7667,1909,24155,0,3006,16,2,0
2026-07-15,dty,डोटेली,https://dty.wikipedia.org,22627,3739,247277,3,8274,19,2,0
2026-07-15,dv,ދިވެހިބަސް,https://dv.wikipedia.org,12510,3218,137517,896,28403,20,2,0
2026-07-15,dz,ཇོང་ཁ,https://dz.wikipedia.org,5852,382,39988,0,13556,21,2,0
2026-07-15,ee,eʋegbe,https://ee.wikipedia.org,4398,1351,61730,0,17242,21,2,0
2026-07-15,el,Ελληνικά,https://el.wikipedia.org,755081,271019,11704075,19936,517204,2387,22,0
2026-07-15,eml,emiliàn e rumagnòl,https://eml.wikipedia.org,37656,14176,172876,2952,31569,28,3,0
2026-07-15,en,English,https://en.wikipedia.org,65910325,7209002,1359526915,971933,53673274,249387,814,0
2026-07-15,eo,Esperanto,https://eo.wikipedia.org,870246,387828,9407218,19749,257667,407,13,0
2026-07-15,es,español,https://es.wikipedia.org,8682882,2125517,173925748,0,8083843,36479,52,0
2026-07-15,et,eesti,https://et.wikipedia.org,616378,260881,7184919,657,231704,841,36,0
2026-07-15,eu,euskara,https://eu.wikipedia.org,1081899,491913,10862343,0,197057,491,12,0
2026-07-15,ext,estremeñu,https://ext.wikipedia.org,9343,4239,143266,0,20364,16,2,0
2026-07-15,fa,فارسی,https://fa.wikipedia.org,6062764,1079784,43933595,99316,1539605,7177,38,0
2026-07-15,fat,mfantse,https://fat.wikipedia.org,4779,1796,25683,0,2527,6,3,0
2026-07-15,ff,Fulfulde,https://ff.wikipedia.org,36698,20547,170607,0,13912,46,3,0
2026-07-15,fi,suomi,https://fi.wikipedia.org,1588495,621538,24063225,80397,670845,2946,35,0
2026-07-15,fj,Na Vosa Vakaviti,https://fj.wikipedia.org,4565,1726,38766,0,10842,15,1,0
2026-07-15,fo,føroyskt,https://fo.wikipedia.org,41087,14219,388081,0,34952,45,3,0
2026-07-15,fon,fɔ̀ngbè,https://fon.wikipedia.org,6594,4451,35458,0,2427,34,2,0
2026-07-15,fr,français,https://fr.wikipedia.org,14048098,2769504,237376045,79058,5925531,33365,145,0
2026-07-15,frp,arpetan,https://frp.wikipedia.org,18340,5829,231360,0,19884,17,2,0
2026-07-15,frr,Nordfriisk,https://frr.wikipedia.org,53039,21281,281864,1486,24570,28,4,0
2026-07-15,fur,furlan,https://fur.wikipedia.org,11547,5215,183716,296,17015,25,2,0
2026-07-15,fy,Frysk,https://fy.wikipedia.org,180585,60350,1232912,7743,58508,76,7,0
2026-07-15,ga,Gaeilge,https://ga.wikipedia.org,117049,64199,1318112,1016,74193,105,6,0
2026-07-15,gag,Gagauz,https://gag.wikipedia.org,7666,3008,75316,0,16780,22,1,0
2026-07-15,gan,贛語,https://gan.wikipedia.org,34494,6817,401799,40,92199,39,2,0
2026-07-15,gcr,kriyòl gwiyannen,https://gcr.wikipedia.org,2674,1077,17706,0,4470,10,1,0
2026-07-15,gd,Gàidhlig,https://gd.wikipedia.org,32896,16057,582176,290,32461,28,5,0
2026-07-15,gl,galego,https://gl.wikipedia.org,614058,232466,7483396,35,172017,382,6,0
2026-07-15,glk,گیلکی,https://glk.wikipedia.org,57648,48312,158392,811,18651,71,3,0
2026-07-15,gn,Avañe'ẽ,https://gn.wikipedia.org,14198,6032,137766,0,23103,28,2,0
2026-07-15,gom,गोंयची कोंकणी / Gõychi Konknni,https://gom.wikipedia.org,8925,3644,214324,0,11808,15,3,0
2026-07-15,gor,Bahasa Hulontalo,https://gor.wikipedia.org,25048,15120,67475,0,8669,17,3,0
2026-07-15,got,𐌲𐌿𐍄𐌹𐍃𐌺,https://got.wikipedia.org,4025,1012,48913,0,23081,20,1,0
2026-07-15,gpe,Ghanaian Pidgin,https://gpe.wikipedia.org,27865,5485,107380,0,6858,27,2,0
2026-07-15,gsw,Alemannisch,https://als.wikipedia.org,75327,31726,1083658,603,120437,103,7,0
2026-07-15,gu,ગુજરાતી,https://gu.wikipedia.org,136348,30866,900879,0,86360,89,3,0
2026-07-15,guc,wayuunaiki,https://guc.wikipedia.org,1401,705,18610,0,2842,27,2,0
2026-07-15,gur,farefare,https://gur.wikipedia.org,2659,1378,23639,0,2304,11,1,0
2026-07-15,guw,gungbe,https://guw.wikipedia.org,3007,1696,45104,0,2485,19,4,0
2026-07-15,gv,Gaelg,https://gv.wikipedia.org,47032,7110,384006,122,23478,33,3,0
2026-07-15,ha,Hausa,https://ha.wikipedia.org,151197,106270,883563,0,46534,344,15,0
2026-07-15,hak,客家語 / Hak-kâ-ngî,https://hak.wikipedia.org,20051,10436,134060,0,37000,20,1,0
2026-07-15,haw,Hawaiʻi,https://haw.wikipedia.org,6262,2895,102913,0,21446,16,1,0
2026-07-15,he,עברית,https://he.wikipedia.org,1673082,400966,43517027,88275,1334120,6973,25,0
2026-07-15,hi,हिन्दी,https://hi.wikipedia.org,1391065,170511,6569384,4685,914749,955,7,0
2026-07-15,hif,Fiji Hindi,https://hif.wikipedia.org,57269,12387,336129,187,40395,67,3,0
2026-07-15,hr,hrvatski,https://hr.wikipedia.org,509330,234189,7512073,21133,363148,855,14,0
2026-07-15,hsb,hornjoserbsce,https://hsb.wikipedia.org,36516,14268,390359,126,28398,22,4,0
2026-07-15,ht,Kreyòl ayisyen,https://ht.wikipedia.org,93591,72020,881116,0,39485,64,2,0
2026-07-15,hu,magyar,https://hu.wikipedia.org,1623439,571227,29153275,9516,649732,2761,22,0
2026-07-15,hy,հայերեն,https://hy.wikipedia.org,1206545,329946,10822924,12444,172085,674,10,0
2026-07-15,hyw,Արեւմտահայերէն,https://hyw.wikipedia.org,30490,13981,241638,0,14621,37,5,0
2026-07-15,ia,interlingua,https://ia.wikipedia.org,46652,30472,693877,4,59954,36,6,0
