wikimedia_language_code,bcp47_tag,bcp47_primary_language,iso_639_1,iso_639_2_bibliographic,iso_639_2_terminologic,iso_639_3,iso_scope,iso_language_type,iso_reference_name,mapping_type,mapping_confidence,mapping_note,language_name_english,language_name_native,wikipedia_url,api_url,analytics_project,database_name,site_name,status,is_active,is_closed,article_count,total_pages,total_edits,registered_users,active_users,administrators,files_local,pageviews_30_days,pageviews_365_days,pageviews_30_start,pageviews_30_end,pageviews_365_start,pageviews_365_end,date_established,date_established_source,statistics_retrieved_at_utc,pageviews_retrieved_at_utc,connector_error
en,en,en,en,eng,eng,eng,I,L,English,iso_registry_crosswalk,high,,English,English,https://en.wikipedia.org,https://en.wikipedia.org/w/api.php,en.wikipedia,enwiki,Wikipedia,active,True,False,7211275,65939447,1360345146,53730677,248649,816,972164,6544944919,,2026-06-20,2026-07-19,2025-07-20,2026-07-19,,,2026-07-20T09:24:09.147716+00:00,,pageviews_365: Request failed for https://wikimedia.org/api/rest_v1/metrics/pageviews/aggregate/en.wikipedia/all-access/user/daily/2025072000/2026071900: 404 Client Error: Not Found for url: https://wikimedia.org/api/rest_v1/metrics/pageviews/aggregate/en.wikipedia/all-access/user/daily/2025072000/2026071900
ceb,ceb,ceb,,ceb,ceb,ceb,I,L,Cebuano,direct_iso_639_3,high,,Cebuano,Cebuano,https://ceb.wikipedia.org,https://ceb.wikipedia.org/w/api.php,ceb.wikipedia,cebwiki,Wikipedia,active,True,False,6115356,11234944,37001399,145172,205,6,3,14213535,127569338,2026-06-20,2026-07-19,2025-07-20,2026-07-19,,,2026-07-20T09:23:22.584696+00:00,2026-07-20T09:23:22.584696+00:00,
de,de,de,de,ger,deu,deu,I,L,German,iso_registry_crosswalk,high,,Deutsch,German,https://de.wikipedia.org,https://de.wikipedia.org/w/api.php,de.wikipedia,dewiki,Wikipedia,active,True,False,3137287,8587947,266594426,5253699,32685,161,129773,676774697,8543642958,2026-06-20,2026-07-19,2025-07-20,2026-07-19,,,2026-07-20T09:23:46.610632+00:00,2026-07-20T09:23:46.610632+00:00,
fr,fr,fr,fr,fre,fra,fra,I,L,French,iso_registry_crosswalk,high,,français,French,https://fr.wikipedia.org,https://fr.wikipedia.org/w/api.php,fr.wikipedia,frwiki,Wikipédia,active,True,False,2770251,14054340,237490284,5932918,32696,145,79083,559729652,7222297934,2026-06-20,2026-07-19,2025-07-20,2026-07-19,,,2026-07-20T09:24:46.363704+00:00,2026-07-20T09:24:46.363704+00:00,
sv,sv,sv,sv,swe,swe,swe,I,L,Swedish,iso_registry_crosswalk,high,,svenska,Swedish,https://sv.wikipedia.org,https://sv.wikipedia.org/w/api.php,sv.wikipedia,svwiki,Wikipedia,active,True,False,2626647,6373916,59395078,1053447,3978,65,0,70868187,807342816,2026-06-20,2026-07-19,2025-07-20,2026-07-19,,,2026-07-20T09:29:33.039005+00:00,2026-07-20T09:29:33.039005+00:00,
nl,nl,nl,nl,dut,nld,nld,I,L,Dutch,iso_registry_crosswalk,high,,Nederlands,Dutch,https://nl.wikipedia.org,https://nl.wikipedia.org/w/api.php,nl.wikipedia,nlwiki,Wikipedia,active,True,False,2223400,4789757,71452476,1590334,6996,33,20,98127058,1239059164,2026-06-20,2026-07-19,2025-07-20,2026-07-19,,,2026-07-20T09:27:38.587948+00:00,2026-07-20T09:27:38.587948+00:00,
es,es,es,es,spa,spa,spa,I,L,Spanish,iso_registry_crosswalk,high,,español,Spanish,https://es.wikipedia.org,https://es.wikipedia.org/w/api.php,es.wikipedia,eswiki,Wikipedia,active,True,False,2126333,8685376,173995091,8092319,35461,52,0,518648283,6666296927,2026-06-20,2026-07-19,2025-07-20,2026-07-19,,,2026-07-20T09:24:17.399451+00:00,2026-07-20T09:24:17.399451+00:00,
ru,ru,ru,ru,rus,rus,rus,I,L,Russian,iso_registry_crosswalk,high,,русский,Russian,https://ru.wikipedia.org,https://ru.wikipedia.org/w/api.php,ru.wikipedia,ruwiki,Википедия,active,True,False,2110350,8533687,153722763,4026725,16240,63,266644,547603024,8082561247,2026-06-20,2026-07-19,2025-07-20,2026-07-19,,,2026-07-20T09:28:56.176403+00:00,2026-07-20T09:28:56.176403+00:00,
it,it,it,it,ita,ita,ita,I,L,Italian,iso_registry_crosswalk,high,,italiano,Italian,https://it.wikipedia.org,https://it.wikipedia.org/w/api.php,it.wikipedia,itwiki,Wikipedia,active,True,False,1978335,8868252,151406756,3085288,25287,102,124242,344328368,,2026-06-20,2026-07-19,2025-07-20,2026-07-19,,,2026-07-20T09:25:46.865671+00:00,,pageviews_365: Request failed for https://wikimedia.org/api/rest_v1/metrics/pageviews/aggregate/it.wikipedia/all-access/user/daily/2025072000/2026071900: 404 Client Error: Not Found for url: https://wikimedia.org/api/rest_v1/metrics/pageviews/aggregate/it.wikipedia/all-access/user/daily/2025072000/2026071900
pl,pl,pl,pl,pol,pol,pol,I,L,Polish,iso_registry_crosswalk,high,,polski,Polish,https://pl.wikipedia.org,https://pl.wikipedia.org/w/api.php,pl.wikipedia,plwiki,Wikipedia,active,True,False,1702058,4051397,80011700,1589049,8952,95,265,175162755,2289587778,2026-06-20,2026-07-19,2025-07-20,2026-07-19,,,2026-07-20T09:28:16.895616+00:00,2026-07-20T09:28:16.895616+00:00,
