wikimedia_language_code,bcp47_tag,bcp47_primary_language,iso_639_1,iso_639_2_bibliographic,iso_639_2_terminologic,iso_639_3,iso_scope,iso_language_type,iso_reference_name,mapping_type,mapping_confidence,mapping_note,language_name_english,language_name_native,wikipedia_url,api_url,analytics_project,database_name,site_name,status,is_active,is_closed,article_count,total_pages,total_edits,registered_users,active_users,administrators,files_local,pageviews_30_days,pageviews_365_days,pageviews_30_start,pageviews_30_end,pageviews_365_start,pageviews_365_end,date_established,date_established_source,statistics_retrieved_at_utc,pageviews_retrieved_at_utc,connector_error
en,en,en,en,eng,eng,eng,I,L,English,iso_registry_crosswalk,high,,English,English,https://en.wikipedia.org,https://en.wikipedia.org/w/api.php,en.wikipedia,enwiki,Wikipedia,active,True,False,7210252,65919760,1359983818,53705409,250013,814,972002,6284031579,,2026-06-18,2026-07-17,2025-07-18,2026-07-17,,,2026-07-18T08:01:00.141545+00:00,,pageviews_365: Request failed for https://wikimedia.org/api/rest_v1/metrics/pageviews/aggregate/en.wikipedia/all-access/user/daily/2025071800/2026071700: 404 Client Error: Not Found for url: https://wikimedia.org/api/rest_v1/metrics/pageviews/aggregate/en.wikipedia/all-access/user/daily/2025071800/2026071700
ceb,ceb,ceb,,ceb,ceb,ceb,I,L,Cebuano,direct_iso_639_3,high,,Cebuano,Cebuano,https://ceb.wikipedia.org,https://ceb.wikipedia.org/w/api.php,ceb.wikipedia,cebwiki,Wikipedia,active,True,False,6115364,11234929,37001283,145084,203,6,3,12964300,125873044,2026-06-18,2026-07-17,2025-07-18,2026-07-17,,,2026-07-18T07:59:40.194759+00:00,2026-07-18T07:59:40.194759+00:00,
de,de,de,de,ger,deu,deu,I,L,German,iso_registry_crosswalk,high,,Deutsch,German,https://de.wikipedia.org,https://de.wikipedia.org/w/api.php,de.wikipedia,dewiki,Wikipedia,active,True,False,3136780,8586377,266547006,5250549,33080,161,129696,645871546,8513358853,2026-06-18,2026-07-17,2025-07-18,2026-07-17,,,2026-07-18T08:00:38.279331+00:00,2026-07-18T08:00:38.279331+00:00,
fr,fr,fr,fr,fre,fra,fra,I,L,French,iso_registry_crosswalk,high,,français,French,https://fr.wikipedia.org,https://fr.wikipedia.org/w/api.php,fr.wikipedia,frwiki,Wikipédia,active,True,False,2769873,14051235,237436714,5929598,33162,145,79059,532646126,7199090789,2026-06-18,2026-07-17,2025-07-18,2026-07-17,,,2026-07-18T08:01:29.849043+00:00,2026-07-18T08:01:29.849043+00:00,
sv,sv,sv,sv,swe,swe,swe,I,L,Swedish,iso_registry_crosswalk,high,,svenska,Swedish,https://sv.wikipedia.org,https://sv.wikipedia.org/w/api.php,sv.wikipedia,svwiki,Wikipedia,active,True,False,2626599,6373657,59382273,1052888,4010,65,0,66287047,802759715,2026-06-18,2026-07-17,2025-07-18,2026-07-17,,,2026-07-18T08:08:20.799410+00:00,2026-07-18T08:08:20.799410+00:00,
nl,nl,nl,nl,dut,nld,nld,I,L,Dutch,iso_registry_crosswalk,high,,Nederlands,Dutch,https://nl.wikipedia.org,https://nl.wikipedia.org/w/api.php,nl.wikipedia,nlwiki,Wikipedia,active,True,False,2223270,4789521,71426559,1589587,7212,33,20,93527425,1234096548,2026-06-18,2026-07-17,2025-07-18,2026-07-17,,,2026-07-18T08:05:45.282114+00:00,2026-07-18T08:05:45.282114+00:00,
es,es,es,es,spa,spa,spa,I,L,Spanish,iso_registry_crosswalk,high,,español,Spanish,https://es.wikipedia.org,https://es.wikipedia.org/w/api.php,es.wikipedia,eswiki,Wikipedia,active,True,False,2125940,8684496,173963093,8088678,36160,52,0,497903399,6649490121,2026-06-18,2026-07-17,2025-07-18,2026-07-17,,,2026-07-18T08:01:08.370147+00:00,2026-07-18T08:01:08.370147+00:00,
ru,ru,ru,ru,rus,rus,rus,I,L,Russian,iso_registry_crosswalk,high,,русский,Russian,https://ru.wikipedia.org,https://ru.wikipedia.org/w/api.php,ru.wikipedia,ruwiki,Википедия,active,True,False,2110055,8532551,153697320,4024533,16251,63,266648,526103307,,2026-06-18,2026-07-17,2025-07-18,2026-07-17,,,2026-07-18T08:07:30.649758+00:00,,pageviews_365: Request failed for https://wikimedia.org/api/rest_v1/metrics/pageviews/aggregate/ru.wikipedia/all-access/user/daily/2025071800/2026071700: 404 Client Error: Not Found for url: https://wikimedia.org/api/rest_v1/metrics/pageviews/aggregate/ru.wikipedia/all-access/user/daily/2025071800/2026071700
it,it,it,it,ita,ita,ita,I,L,Italian,iso_registry_crosswalk,high,,italiano,Italian,https://it.wikipedia.org,https://it.wikipedia.org/w/api.php,it.wikipedia,itwiki,Wikipedia,active,True,False,1978002,8865086,151380029,3082849,25453,102,124219,,4646893648,2026-06-18,2026-07-17,2025-07-18,2026-07-17,,,2026-07-18T08:03:32.895046+00:00,2026-07-18T08:03:32.895046+00:00,pageviews_30: Request failed for https://wikimedia.org/api/rest_v1/metrics/pageviews/aggregate/it.wikipedia/all-access/user/daily/2026061800/2026071700: 404 Client Error: Not Found for url: https://wikimedia.org/api/rest_v1/metrics/pageviews/aggregate/it.wikipedia/all-access/user/daily/2026061800/2026071700
pl,pl,pl,pl,pol,pol,pol,I,L,Polish,iso_registry_crosswalk,high,,polski,Polish,https://pl.wikipedia.org,https://pl.wikipedia.org/w/api.php,pl.wikipedia,plwiki,Wikipedia,active,True,False,1701834,4050414,79997081,1588095,9090,95,265,167043383,2281478247,2026-06-18,2026-07-17,2025-07-18,2026-07-17,,,2026-07-18T08:06:30.515623+00:00,2026-07-18T08:06:30.515623+00:00,
arz,arz,arz,,,,arz,I,L,Egyptian Arabic,direct_iso_639_3,high,,مصرى,Egyptian Arabic,https://arz.wikipedia.org,https://arz.wikipedia.org/w/api.php,arz.wikipedia,arzwiki,ويكيبيديا,active,True,False,1632438,2255277,13137947,291128,327,7,1301,7139213,70701905,2026-06-18,2026-07-17,2025-07-18,2026-07-17,,,2026-07-18T07:59:00.764851+00:00,2026-07-18T07:59:00.764851+00:00,
