wikimedia_language_code,bcp47_tag,bcp47_primary_language,iso_639_1,iso_639_2_bibliographic,iso_639_2_terminologic,iso_639_3,iso_scope,iso_language_type,iso_reference_name,mapping_type,mapping_confidence,mapping_note,language_name_english,language_name_native,wikipedia_url,api_url,analytics_project,database_name,site_name,status,is_active,is_closed,article_count,total_pages,total_edits,registered_users,active_users,administrators,files_local,pageviews_30_days,pageviews_365_days,pageviews_30_start,pageviews_30_end,pageviews_365_start,pageviews_365_end,date_established,date_established_source,statistics_retrieved_at_utc,pageviews_retrieved_at_utc,connector_error
bs,bs,bs,bs,bos,bos,bos,I,L,Bosnian,iso_registry_crosswalk,high,,bosanski,Bosnian,https://bs.wikipedia.org,https://bs.wikipedia.org/w/api.php,bs.wikipedia,bswiki,Wikipedia,active,True,False,98509,387135,3895660,182552,215,10,5318,2295725,32767178,2026-06-19,2026-07-18,2025-07-19,2026-07-18,,,2026-07-19T08:25:50.334310+00:00,2026-07-19T08:25:50.334310+00:00,
ku,ku,ku,ku,kur,kur,kur,M,L,Kurdish,iso_registry_crosswalk,high,,kurdî,Kurdish,https://ku.wikipedia.org,https://ku.wikipedia.org/w/api.php,ku.wikipedia,kuwiki,Wîkîpediya,active,True,False,91910,301674,2079218,169733,104,3,554,758025,17518914,2026-06-19,2026-07-18,2025-07-19,2026-07-18,,,2026-07-19T08:27:17.322616+00:00,2026-07-19T08:27:17.322616+00:00,
br,br,br,br,bre,bre,bre,I,L,Breton,iso_registry_crosswalk,high,,brezhoneg,Breton,https://br.wikipedia.org,https://br.wikipedia.org/w/api.php,br.wikipedia,brwiki,Wikipedia,active,True,False,91466,161667,2190367,92307,106,5,492,385447,14909443,2026-06-19,2026-07-18,2025-07-19,2026-07-18,,,2026-07-19T08:25:49.887659+00:00,2026-07-19T08:25:49.887659+00:00,
be-tarask,be-tarask,be,be,bel,bel,bel,I,L,Belarusian,orthographic_variant,high,Belarusian in Taraskievica orthography.,беларуская (тарашкевіца),Belarusian (Taraškievica orthography),https://be-tarask.wikipedia.org,https://be-tarask.wikipedia.org/w/api.php,be-tarask.wikipedia,be_x_oldwiki,Вікіпэдыя,active,True,False,91194,266635,2672183,98303,197,4,2276,752170,9725615,2026-06-19,2026-07-18,2025-07-19,2026-07-18,,,2026-07-19T08:25:44.055450+00:00,2026-07-19T08:25:44.055450+00:00,
oc,oc,oc,oc,oci,oci,oci,I,L,Occitan (post 1500),iso_registry_crosswalk,high,,occitan,Occitan,https://oc.wikipedia.org,https://oc.wikipedia.org/w/api.php,oc.wikipedia,ocwiki,Wikipèdia,active,True,False,90814,167288,2491892,64119,138,3,306,786784,16084398,2026-06-19,2026-07-18,2025-07-19,2026-07-18,,,2026-07-19T08:28:16.463016+00:00,2026-07-19T08:28:16.463016+00:00,
ml,ml,ml,ml,mal,mal,mal,I,L,Malayalam,iso_registry_crosswalk,high,,മലയാളം,Malayalam,https://ml.wikipedia.org,https://ml.wikipedia.org/w/api.php,ml.wikipedia,mlwiki,വിക്കിപീഡിയ,active,True,False,88228,554553,4387160,206653,388,13,7510,2704588,43898336,2026-06-19,2026-07-18,2025-07-19,2026-07-18,,,2026-07-19T08:27:33.251906+00:00,2026-07-19T08:27:33.251906+00:00,
nds,nds,nds,,nds,nds,nds,I,L,Low German,direct_iso_639_3,high,,Plattdüütsch,Low German,https://nds.wikipedia.org,https://nds.wikipedia.org/w/api.php,nds.wikipedia,ndswiki,Wikipedia,active,True,False,85910,187393,1070410,62586,54,3,0,313243,7033525,2026-06-19,2026-07-18,2025-07-19,2026-07-18,,,2026-07-19T08:28:08.499725+00:00,2026-07-19T08:28:08.499725+00:00,
an,an,an,an,arg,arg,arg,I,L,Aragonese,iso_registry_crosswalk,high,,aragonés,Aragonese,https://an.wikipedia.org,https://an.wikipedia.org/w/api.php,an.wikipedia,anwiki,Wikipedia,active,True,False,84969,239699,2456079,90205,102,9,2190,548729,12685543,2026-06-19,2026-07-18,2025-07-19,2026-07-18,,,2026-07-19T08:25:32.301551+00:00,2026-07-19T08:25:32.301551+00:00,
ckb,ckb,ckb,,,,ckb,I,L,Central Kurdish,direct_iso_639_3,high,,کوردی,Central Kurdish,https://ckb.wikipedia.org,https://ckb.wikipedia.org/w/api.php,ckb.wikipedia,ckbwiki,ویکیپیدیا,active,True,False,83146,258713,1606098,76559,204,7,3021,842177,11007409,2026-06-19,2026-07-18,2025-07-19,2026-07-18,,,2026-07-19T08:25:56.269387+00:00,2026-07-19T08:25:56.269387+00:00,
lmo,lmo,lmo,,,,lmo,I,L,Lombard,direct_iso_639_3,high,,lombard,Lombard,https://lmo.wikipedia.org,https://lmo.wikipedia.org/w/api.php,lmo.wikipedia,lmowiki,Wikipedia,active,True,False,80174,153492,1327961,53784,46,3,795,280587,12815645,2026-06-19,2026-07-18,2025-07-19,2026-07-18,,,2026-07-19T08:27:24.636765+00:00,2026-07-19T08:27:24.636765+00:00,
