wikimedia_language_code,bcp47_tag,bcp47_primary_language,iso_639_1,iso_639_2_bibliographic,iso_639_2_terminologic,iso_639_3,iso_scope,iso_language_type,iso_reference_name,mapping_type,mapping_confidence,mapping_note,language_name_english,language_name_native,wikipedia_url,api_url,analytics_project,database_name,site_name,status,is_active,is_closed,article_count,total_pages,total_edits,registered_users,active_users,administrators,files_local,pageviews_30_days,pageviews_365_days,pageviews_30_start,pageviews_30_end,pageviews_365_start,pageviews_365_end,date_established,date_established_source,statistics_retrieved_at_utc,pageviews_retrieved_at_utc,connector_error
en,en,en,en,eng,eng,eng,I,L,English,iso_registry_crosswalk,high,,English,English,https://en.wikipedia.org,https://en.wikipedia.org/w/api.php,en.wikipedia,enwiki,Wikipedia,active,True,False,7210115,65918978,1359923737,53702363,250013,814,971962,6505381801,,2026-06-17,2026-07-16,2025-07-17,2026-07-16,,,2026-07-18T00:02:44.368785+00:00,,pageviews_365: Request failed for https://wikimedia.org/api/rest_v1/metrics/pageviews/aggregate/en.wikipedia/all-access/user/daily/2025071700/2026071600: 404 Client Error: Not Found for url: https://wikimedia.org/api/rest_v1/metrics/pageviews/aggregate/en.wikipedia/all-access/user/daily/2025071700/2026071600
ceb,ceb,ceb,,ceb,ceb,ceb,I,L,Cebuano,direct_iso_639_3,high,,Cebuano,Cebuano,https://ceb.wikipedia.org,https://ceb.wikipedia.org/w/api.php,ceb.wikipedia,cebwiki,Wikipedia,active,True,False,6115361,11234922,37001260,145073,203,6,3,13412371,126029609,2026-06-17,2026-07-16,2025-07-17,2026-07-16,,,2026-07-17T23:59:51.572144+00:00,2026-07-17T23:59:51.572144+00:00,
de,de,de,de,ger,deu,deu,I,L,German,iso_registry_crosswalk,high,,Deutsch,German,https://de.wikipedia.org,https://de.wikipedia.org/w/api.php,de.wikipedia,dewiki,Wikipedia,active,True,False,3136746,8586287,266542182,5250276,33080,161,129678,667889834,8534590741,2026-06-17,2026-07-16,2025-07-17,2026-07-16,,,2026-07-18T00:02:14.335227+00:00,2026-07-18T00:02:14.335227+00:00,
fr,fr,fr,fr,fre,fra,fra,I,L,French,iso_registry_crosswalk,high,,français,French,https://fr.wikipedia.org,https://fr.wikipedia.org/w/api.php,fr.wikipedia,frwiki,Wikipédia,active,True,False,2769862,14050781,237432044,5929293,33162,145,79053,,7218796896,2026-06-17,2026-07-16,2025-07-17,2026-07-16,,,2026-07-18T00:03:29.889794+00:00,2026-07-18T00:03:29.889794+00:00,pageviews_30: Request failed for https://wikimedia.org/api/rest_v1/metrics/pageviews/aggregate/fr.wikipedia/all-access/user/daily/2026061700/2026071600: 404 Client Error: Not Found for url: https://wikimedia.org/api/rest_v1/metrics/pageviews/aggregate/fr.wikipedia/all-access/user/daily/2026061700/2026071600
sv,sv,sv,sv,swe,swe,swe,I,L,Swedish,iso_registry_crosswalk,high,,svenska,Swedish,https://sv.wikipedia.org,https://sv.wikipedia.org/w/api.php,sv.wikipedia,svwiki,Wikipedia,active,True,False,2626632,6373641,59380610,1052849,4010,65,0,68531995,804776649,2026-06-17,2026-07-16,2025-07-17,2026-07-16,,,2026-07-18T00:13:37.334709+00:00,2026-07-18T00:13:37.334709+00:00,
nl,nl,nl,nl,dut,nld,nld,I,L,Dutch,iso_registry_crosswalk,high,,Nederlands,Dutch,https://nl.wikipedia.org,https://nl.wikipedia.org/w/api.php,nl.wikipedia,nlwiki,Wikipedia,active,True,False,2223262,4789497,71419678,1589537,7212,33,20,96915094,1236760682,2026-06-17,2026-07-16,2025-07-17,2026-07-16,,,2026-07-18T00:09:45.449323+00:00,2026-07-18T00:09:45.449323+00:00,
es,es,es,es,spa,spa,spa,I,L,Spanish,iso_registry_crosswalk,high,,español,Spanish,https://es.wikipedia.org,https://es.wikipedia.org/w/api.php,es.wikipedia,eswiki,Wikipedia,active,True,False,2125920,8684065,173958201,8088227,36160,52,0,516328123,6668330532,2026-06-17,2026-07-16,2025-07-17,2026-07-16,,,2026-07-18T00:02:52.838539+00:00,2026-07-18T00:02:52.838539+00:00,
ru,ru,ru,ru,rus,rus,rus,I,L,Russian,iso_registry_crosswalk,high,,русский,Russian,https://ru.wikipedia.org,https://ru.wikipedia.org/w/api.php,ru.wikipedia,ruwiki,Википедия,active,True,False,2110030,8532470,153695120,4024333,16251,63,266648,544578021,8089567907,2026-06-17,2026-07-16,2025-07-17,2026-07-16,,,2026-07-18T00:12:59.576234+00:00,2026-07-18T00:12:59.576234+00:00,
it,it,it,it,ita,ita,ita,I,L,Italian,iso_registry_crosswalk,high,,italiano,Italian,https://it.wikipedia.org,https://it.wikipedia.org/w/api.php,it.wikipedia,itwiki,Wikipedia,active,True,False,1977995,8864867,151377835,3082655,25453,102,124214,340354234,,2026-06-17,2026-07-16,2025-07-17,2026-07-16,,,2026-07-18T00:06:09.964370+00:00,,pageviews_365: Request failed for https://wikimedia.org/api/rest_v1/metrics/pageviews/aggregate/it.wikipedia/all-access/user/daily/2025071700/2026071600: 404 Client Error: Not Found for url: https://wikimedia.org/api/rest_v1/metrics/pageviews/aggregate/it.wikipedia/all-access/user/daily/2025071700/2026071600
pl,pl,pl,pl,pol,pol,pol,I,L,Polish,iso_registry_crosswalk,high,,polski,Polish,https://pl.wikipedia.org,https://pl.wikipedia.org/w/api.php,pl.wikipedia,plwiki,Wikipedia,active,True,False,1701825,4050331,79995724,1588033,9090,95,265,172603551,2287699759,2026-06-17,2026-07-16,2025-07-17,2026-07-16,,,2026-07-18T00:10:40.203696+00:00,2026-07-18T00:10:40.203696+00:00,
